order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,INO,50,13.55,SMAT,12:31:01,0.0,21.930000000000007,3.930000000000007,12
Sell,INO,12,13.69,SMAT,12:31:51,1.68,0.0,0.0,0
Sell,INO,9,13.78,SMAT,12:31:54,2.07,0.0,0.0,0
Sell,INO,29,13.6,SMAT,12:32:26,1.45,0.0,0.0,0
Buy,INO,50,13.69,SMAT,12:34:16,0.0,0.0,0.0,0
Sell,INO,12,13.79,SMAT,12:34:47,1.2,0.0,0.0,0
Sell,INO,9,13.83,SMAT,12:35:07,1.26,0.0,0.0,0
Sell,INO,29,13.81,SMAT,12:35:18,3.48,0.0,0.0,0
Sell,INO,50,13.87,SMAT,12:35:31,0.0,0.0,0.0,0
Buy,INO,50,13.89,SMAT,12:35:32,-1.0,0.0,0.0,0
Sell,INO,50,13.88,SMAT,12:36:51,0.0,0.0,0.0,0
Buy,INO,50,14.08,SMAT,12:37:34,-10.0,0.0,0.0,0
Sell,INO,50,13.9,SMAT,12:39:35,0.0,0.0,0.0,0
Buy,INO,5,13.79,SMAT,12:40:29,0.55,0.0,0.0,0
Buy,INO,4,13.65,SMAT,12:40:32,1.0,0.0,0.0,0
Buy,INO,4,13.6,SMAT,12:40:47,1.2,0.0,0.0,0
Buy,INO,3,13.61,SMAT,12:40:48,0.87,0.0,0.0,0
Buy,INO,34,13.64,SMAT,12:40:52,8.84,0.0,0.0,0
Buy,INO,50,13.56,SMAT,12:45:10,0.0,0.0,0.0,0
Sell,INO,50,13.57,SMAT,12:48:19,0.5,0.0,0.0,0
Sell,INO,50,13.58,SMAT,12:50:12,0.0,0.0,0.0,0
Buy,INO,5,13.4,SMAT,12:51:50,0.9,0.0,0.0,0
Buy,INO,45,13.31,SMAT,12:52:39,12.15,0.0,0.0,0
Buy,INO,50,13.27,SMAT,12:55:27,0.0,0.0,0.0,0
Sell,INO,50,13.2,SMAT,13:02:14,-3.5,0.0,0.0,0
Sell,INO,50,13.2,SMAT,13:02:31,0.0,0.0,0.0,0
Buy,INO,50,13.31,SMAT,13:05:25,-5.5,0.0,0.0,0
Buy,INO,50,13.37,SMAT,13:05:44,0.0,0.0,0.0,0
Sell,INO,12,13.46,SMAT,13:06:31,1.08,0.0,0.0,0
Sell,INO,9,13.53,SMAT,13:07:31,1.44,0.0,0.0,0
Sell,INO,7,13.6,SMAT,13:08:56,1.61,0.0,0.0,0
Sell,INO,22,13.52,SMAT,13:09:06,3.3,0.0,0.0,0
Sell,INO,50,13.6,SMAT,13:12:06,0.0,0.0,0.0,0
Buy,INO,50,13.66,SMAT,13:13:00,-3.0,0.0,0.0,0
Sell,INO,50,13.6,SMAT,13:15:15,0.0,0.0,0.0,0
Buy,INO,5,13.53,SMAT,13:17:31,0.35,0.0,0.0,0
Buy,INO,45,13.6,SMAT,13:18:47,0.0,0.0,0.0,0
